n test inserts deletes updates time
1 t10 1000 759 3895 29
1 t11 1000 232 3196 22
1 t12 1000 663 3945 30
1 t13 1000 816 3977 30
1 t14 1000 214 3362 22
1 t15 1000 107 2787 18
1 t16 830 7 297 2
1 t17 1000 93 2690 17
1 t18 1000 540 4061 30
1 t19 1000 485 3940 29
1 t1 1000 476 3062 23
1 t20 1000 912 4349 33
1 t2 1000 156 2290 15
1 t3 1000 383 3061 23
1 t4 1000 606 3470 26
1 t5 999 44 1417 10
1 t6 1000 793 3659 29
1 t7 1000 620 3571 27
1 t8 1000 174 2917 19
1 t9 1000 130 2683 17
2 t10 1000 780 3886 9
2 t11 1000 221 3170 6
2 t12 1000 611 3919 9
2 t13 1000 820 3984 9
2 t14 1000 207 3317 7
2 t15 1000 106 2767 6
2 t16 830 7 297 0
2 t17 1000 89 2670 5
2 t18 1000 596 4113 9
2 t19 1000 510 3993 9
2 t1 1000 465 3034 6
2 t20 1000 927 4344 10
2 t2 1000 162 2354 4
2 t3 1000 376 3065 6
2 t4 1000 575 3449 7
2 t5 997 33 1162 2
2 t6 1000 769 3664 8
2 t7 1000 611 3605 8
2 t8 1000 177 2944 6
2 t9 1000 136 2706 5
3 t10 1000 757 3862 8
3 t11 1000 219 3164 6
3 t12 1000 602 3924 8
3 t13 1000 807 3963 9
3 t14 1000 216 3385 7
3 t15 1000 124 2932 6
3 t16 830 7 297 0
3 t17 1000 89 2652 5
3 t18 1000 551 4071 9
3 t19 1000 455 3940 8
3 t1 1000 464 3029 6
3 t20 1000 929 4354 10
3 t2 1000 169 2398 4
3 t3 1000 378 3072 6
3 t4 1000 578 3446 7
3 t5 998 39 1306 2
3 t6 1000 768 3663 7
3 t7 1000 617 3606 7
3 t8 1000 190 2981 6
3 t9 1000 119 2584 5
4 t10 1000 757 3876 8
4 t11 1000 203 3104 6
4 t12 1000 635 3920 8
4 t13 1000 792 3984 9
4 t14 1000 217 3403 6
4 t15 1000 112 2844 5
4 t16 830 7 297 0
4 t17 1000 94 2700 5
4 t18 1000 548 4053 8
4 t19 1000 458 3947 8
